timestamp,user_id,session_id,user_role,source_ip,region,country,latitude,longitude,action,status,bytes_sent,bytes_received,auth_method,response_time_ms,anomaly_label,ip_is_public,asn,vpc_id,subnet_id,src_port,dst_port,protocol,attack_type,attack_stage,attack_id,session_label,ground_truth,event_time,event_id,request_id,event_name,event_source,user_agent,principal_type,principal_arn
2025-12-27 07:01:17.856413,user_158,user_158_sess_2,analytics,10.156.144.154,us-west-2,US,37.7,-122.4,launch_instance,success,941,526,access_key,160,0,False,14618.0,vpc-99437,subnet-81608,5277.0,80.0,TCP,,,,0.0,1.0,2025-12-27T07:01:17.856413Z,aa5f5e2f-18bf-42d7-ba1c-2e5646d4aff6,req-afd9035a-e0ce-4de0-9687-49d76bfe9763,ec2:RunInstances,ec2.amazonaws.com,Terraform/1.6,IAMUser,arn:aws:iam::123456789012:user/user_158
2025-12-27 07:03:26.801402,user_66,user_66_sess_1,readonly,10.9.203.147,us-west-2,US,37.7,-122.4,delete_object,success,974,755,mfa,122,0,False,13335.0,vpc-19658,subnet-81661,26377.0,443.0,TCP,,,,0.0,1.0,2025-12-27T07:03:26.801402Z,ad329f46-912a-4759-8336-027ce0c898ff,req-a799cc9f-7e69-4420-8f2e-58c3fb41aaa2,s3:Deleteobject,s3.amazonaws.com,Boto3/1.33,IAMUser,arn:aws:iam::123456789012:user/user_66
2025-12-27 07:14:27.856084,user_158,user_158_sess_0,analytics,10.137.60.31,us-west-2,US,37.7,-122.4,login,success,48,33,mfa,104,0,False,8075.0,vpc-68073,subnet-89794,29253.0,443.0,TCP,,,,0.0,1.0,2025-12-27T07:14:27.856084Z,34e14a90-8250-4488-bd1d-9a7a6d4713e3,req-ea04e71c-10c8-4e0e-ba01-bf65826f19c1,ConsoleLogin,signin.amazonaws.com,Terraform/1.6,IAMUser,arn:aws:iam::123456789012:user/user_158
2025-12-27 07:16:39.871607,user_180,user_180_sess_3,analytics,10.149.160.97,us-west-2,US,37.7,-122.4,get_object,success,22364,12495,access_key,36,0,False,14618.0,vpc-47165,subnet-27878,55071.0,443.0,TCP,,,,0.0,1.0,2025-12-27T07:16:39.871607Z,e20be4b6-fa81-45d4-94be-70a7c4836f2d,req-2adfa10a-f4e8-463e-84fe-f2789acadc36,s3:Getobject,s3.amazonaws.com,Terraform/1.6,IAMUser,arn:aws:iam::123456789012:user/user_180
2025-12-27 07:37:40.811495,user_86,user_86_sess_2,developer,10.228.27.224,us-west-2,US,37.7,-122.4,access_db,success,1130,622,mfa,201,0,False,16509.0,vpc-93730,subnet-49656,53734.0,80.0,TCP,,,,0.0,1.0,2025-12-27T07:37:40.811495Z,c1da3f9f-7b5d-47ec-a05b-eb898bfe89b3,req-600457b0-db40-4428-af93-baa41ad447fe,Access_Db,cloud.api.local,python-requests/2.31,IAMUser,arn:aws:iam::123456789012:user/user_86
2025-12-27 07:38:58.785450,user_30,user_30_sess_0,devops,10.119.6.60,us-west-2,US,37.7,-122.4,get_object,success,15957,8943,access_key,181,0,False,13335.0,vpc-50481,subnet-40984,49383.0,443.0,TCP,,,,0.0,1.0,2025-12-27T07:38:58.785450Z,17094e72-5f1e-4982-bb06-b27b5a5bc314,req-21972fc2-dbaa-4aa9-84a1-0fc67dcf5320,s3:Getobject,s3.amazonaws.com,curl/7.88,AssumedRole,arn:aws:iam::123456789012:role/user_30
2025-12-27 07:41:01.886151,user_200,user_200_sess_2,developer,10.235.168.26,us-west-2,US,37.7,-122.4,get_object,success,13892,8936,password,182,0,False,16509.0,vpc-24371,subnet-76711,61905.0,443.0,TCP,,,,0.0,1.0,2025-12-27T07:41:01.886151Z,fb2e8ced-a30f-4207-9e3d-f330851aa262,req-1830cbb2-d88f-46d8-91e7-419f4edfaba0,s3:Getobject,s3.amazonaws.com,aws-cli/2.15,IAMUser,arn:aws:iam::123456789012:user/user_200
2025-12-27 07:41:13.842335,user_137,user_137_sess_2,developer,10.146.148.172,us-west-2,US,37.7,-122.4,put_object,success,6604,5388,mfa,313,0,False,16509.0,vpc-12798,subnet-79212,7572.0,443.0,TCP,,,,0.0,1.0,2025-12-27T07:41:13.842335Z,86137fc5-1882-4e90-98fe-7b0ab631b047,req-65b60ba2-9b03-4c12-867b-7e6cb4e564b0,s3:Putobject,s3.amazonaws.com,curl/7.88,IAMUser,arn:aws:iam::123456789012:user/user_137
2025-12-27 07:41:52.811366,user_86,user_86_sess_0,developer,10.18.60.13,us-west-2,US,37.7,-122.4,login,success,31,22,password,145,0,False,16509.0,vpc-38763,subnet-73051,52098.0,443.0,TCP,,,,0.0,1.0,2025-12-27T07:41:52.811366Z,c92efd63-2109-43fc-be4f-97c1aea80fa5,req-9bd8e923-490c-483d-9bc6-50c6f39d15c7,ConsoleLogin,signin.amazonaws.com,python-requests/2.31,IAMUser,arn:aws:iam::123456789012:user/user_86
2025-12-27 07:58:51.784646,user_28,user_28_sess_1,readonly,10.221.33.27,us-west-2,US,37.7,-122.4,login,success,28,24,password,155,0,False,13335.0,vpc-48655,subnet-59998,27348.0,443.0,TCP,,,,0.0,1.0,2025-12-27T07:58:51.784646Z,9e7b9907-26ae-4955-9313-29f66d8dd8ce,req-81f966cb-266f-40a2-9ccf-85d10910300c,ConsoleLogin,signin.amazonaws.com,aws-cli/2.15,IAMUser,arn:aws:iam::123456789012:user/user_28
2025-12-27 07:59:32.794921,user_51,user_51_sess_2,developer,10.140.198.206,us-west-2,US,37.7,-122.4,login,success,43,31,mfa,79,0,False,13335.0,vpc-43187,subnet-86763,8735.0,443.0,TCP,,,,0.0,1.0,2025-12-27T07:59:32.794921Z,b2cb22bc-1ffa-4526-8235-3494a376c391,req-5f554597-8822-4aed-8bd7-e61d8d685876,ConsoleLogin,signin.amazonaws.com,Terraform/1.6,IAMUser,arn:aws:iam::123456789012:user/user_51
2025-12-27 08:04:51.817395,user_96,user_96_sess_0,developer,10.152.89.161,us-west-2,US,37.7,-122.4,put_object,success,4356,2333,password,264,0,False,14618.0,vpc-34322,subnet-48734,34536.0,443.0,TCP,,,,0.0,1.0,2025-12-27T08:04:51.817395Z,814d29d4-cb00-4af9-9f69-b46b488aaa58,req-8bfa8047-c284-4f71-b8d4-90afd0951796,s3:Putobject,s3.amazonaws.com,curl/7.88,IAMUser,arn:aws:iam::123456789012:user/user_96
2025-12-27 08:06:40.775815,user_8,user_8_sess_2,devops,10.80.225.117,eu-west-1,IE,53.3,-6.2,login,success,44,31,mfa,100,0,False,8075.0,vpc-36518,subnet-27290,58836.0,443.0,TCP,,,,0.0,1.0,2025-12-27T08:06:40.775815Z,12f7602d-e056-4dfa-8909-5048264d7c20,req-76cadfe9-3df9-4cd4-876b-14c06bab7e27,ConsoleLogin,signin.amazonaws.com,Terraform/1.6,AssumedRole,arn:aws:iam::123456789012:role/user_8
2025-12-27 08:07:49.867409,user_172,user_172_sess_1,developer,10.11.20.72,us-west-2,US,37.7,-122.4,put_object,success,6517,4649,password,89,0,False,8075.0,vpc-54432,subnet-94107,58092.0,443.0,TCP,,,,0.0,1.0,2025-12-27T08:07:49.867409Z,ed403918-0a30-4336-8bc5-b0677b9ef6cd,req-7ba95ce5-44ad-49ae-adb9-0a1f21375764,s3:Putobject,s3.amazonaws.com,curl/7.88,IAMUser,arn:aws:iam::123456789012:user/user_172
2025-12-27 08:08:19.812654,user_89,user_89_sess_1,developer,18.0.133.81,us-east-1,US,38.9,-77.0,terminate_instance,success,551,492,password,165,0,True,13335.0,vpc-47922,subnet-22060,8837.0,80.0,TCP,,,,0.0,1.0,2025-12-27T08:08:19.812654Z,c03918a3-bce3-4a48-b5f8-3483ad0ab057,req-da1e319a-be39-4181-a9bf-6be81037a204,ec2:TerminateInstances,ec2.amazonaws.com,Terraform/1.6,IAMUser,arn:aws:iam::123456789012:user/user_89
